spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20000001,     1 Ceres (A801 AA),1,2.766051155365554,0.07940124623779937,10.58779899521626,73.27344713151996,80.25220287379196,188.7026826097386,1680.307393820176,2.546423246472024,2.985679064259084,3.34,939.4,0.09,9.07417,MBA,N,N
20000002,     2 Pallas (A802 FA),2,2.770193724888286,0.230540390934673,34.92402104683643,310.9103595359149,172.8953075442743,168.7987109635732,1684.083568966423,2.131552180587763,3.40883526918881,4.11,513.0,0.155,7.8132214,MBA,N,N
20000003,     3 Juno (A804 RA),3,2.670669610528136,0.2559472478034571,12.98651243308289,247.8597344264687,169.8299144950734,172.4550029977515,1594.148129072743,1.987119073921129,3.354220147135143,5.19,246.596,0.214,7.21,MBA,N,N
20000004,     4 Vesta (A807 FA),4,2.361397458473309,0.09010712502848492,7.143943095399415,151.5834106572105,103.7029211881615,332.4506644374986,1325.415557908216,2.148618722440708,2.57417619450591,3.25,522.77,0.4228,5.3421276322,MBA,N,N
20000005,     5 Astraea (A845 XA),5,2.576761789145174,0.1874407619692401,5.358873879186222,359.3177567213809,141.4535130665501,86.24723098231992,1510.809943197381,2.09377159597458,3.059751982315767,6.98,106.699,0.274,16.806,MBA,N,N
20000006,     6 Hebe (A847 NA),6,2.425879205190072,0.2023356466632655,14.73542060875203,239.6701484480612,138.6143931912152,300.4126736253625,1380.073397493409,1.93503736748097,2.916721042899173,5.61,185.18,0.2679,7.2745,MBA,N,N
20000007,     7 Iris (A847 PA),7,2.386321366597522,0.2299780975339978,5.5195528527104,145.5291597445018,259.4983945649472,8.235267916148787,1346.454932520988,1.837519718602694,2.935123014592349,5.67,199.83,0.2766,7.139,MBA,N,N
20000008,     8 Flora (A847 UA),8,2.201041283770178,0.1564762591182058,5.890292825553377,285.4215791449732,110.8454087446028,138.5419116402698,1192.726063460357,1.856630577521087,2.545451990019268,6.61,147.491,0.226,12.865,MBA,N,N
20000009,     9 Metis (A848 HA),9,2.386377079528421,0.1226465963715405,5.578030074802312,5.855240118279233,68.86993991303193,145.7782119922641,1346.502085886102,2.093696053065203,2.679058105991639,6.34,190.0,0.118,5.079,MBA,N,N
20000010,    10 Hygiea (A849 GA),10,3.143633349787946,0.109626631962854,3.832432290463585,312.7056268495127,283.127816050467,181.2789171480864,2035.85225790233,2.799007413524589,3.488259286051303,5.65,407.12,0.0717,13.828,MBA,N,N
